"File Name"	"Category"	"Peak 1"	"Peak 2"	"Lane"	"Dye"	"Sample Info"	"Sample Comment"
"A1_PUTR_063_01_A01_01.fsa"	"HEX_1_18"			1	"G"	"HEX"	"A1_PUTR-063-01_HEX_1-18"
"A1_PUTR_063_01_A01_01.fsa"	"NED_1_22"			1	"Y"	"NED"	"A1_PUTR-063-01_NED_1-22"
"A2_PUTR_063_09_A02_02.fsa"	"FAM_CT1_48"	243.05	246.99	2	"B"	"FAM"	"A2_PUTR-063-09_FAM_CT1-48_CT2-21"
"A2_PUTR_063_09_A02_02.fsa"	"FAM_CT2_21"	165.49	169.19	2	"B"	"FAM"	"A2_PUTR-063-09_FAM_CT1-48_CT2-21"
"A2_PUTR_063_09_A02_02.fsa"	"HEX_1_18"	194.43	194.43	2	"G"	"HEX"	"A2_PUTR-063-09_HEX_1-18"
"A2_PUTR_063_09_A02_02.fsa"	"NED_1_22"	192.54	192.54	2	"Y"	"NED"	"A2_PUTR-063-09_NED_1-22"
"A3_PUTR_063_17_A03_01.fsa"	"FAM_CT1_48"	242.86	246.91	1	"B"	"FAM"	"A3_PUTR-063-17_FAM_CT1-48_CT2-21"
"A3_PUTR_063_17_A03_01.fsa"	"FAM_CT2_21"	179	184.97	1	"B"	"FAM"	"A3_PUTR-063-17_FAM_CT1-48_CT2-21"
"A3_PUTR_063_17_A03_01.fsa"	"HEX_1_18"	186.5	188.48	1	"G"	"HEX"	"A3_PUTR-063-17_HEX_1-18"
"A3_PUTR_063_17_A03_01.fsa"	"NED_1_22"	192.35	194.33	1	"Y"	"NED"	"A3_PUTR-063-17_NED_1-22"
"A4_PUTR_066_01_A04_02.fsa"	"FAM_CT1_48"	239.02	247.06	2	"B"	"FAM"	"A4_PUTR-066-01_FAM_CT1-48_CT2-21"
"A4_PUTR_066_01_A04_02.fsa"	"FAM_CT2_21"	169.17	177.15	2	"B"	"FAM"	"A4_PUTR-066-01_FAM_CT1-48_CT2-21"
"A4_PUTR_066_01_A04_02.fsa"	"HEX_1_18"	191.93	198.08	2	"G"	"HEX"	"A4_PUTR-066-01_HEX_1-18"
"A4_PUTR_066_01_A04_02.fsa"	"NED_1_22"	196.3	196.3	2	"Y"	"NED"	"A4_PUTR-066-01_NED_1-22"
"A5_PUTR_066_09_A05_01.fsa"	"FAM_CT1_48"	247.28	247.28	1	"B"	"FAM"	"A5_PUTR-066-09_FAM_CT1-48_CT2-21"
"A5_PUTR_066_09_A05_01.fsa"	"FAM_CT2_21"	156.61	163.04	1	"B"	"FAM"	"A5_PUTR-066-09_FAM_CT1-48_CT2-21"
"A5_PUTR_066_09_A05_01.fsa"	"HEX_1_18"	184.86	188.52	1	"G"	"HEX"	"A5_PUTR-066-09_HEX_1-18"
"A5_PUTR_066_09_A05_01.fsa"	"NED_1_22"	192.33	199.77	1	"Y"	"NED"	"A5_PUTR-066-09_NED_1-22"
"A6_PUTR_066_17_A06_02.fsa"	"FAM_CT1_48"	226.93	246.92	2	"B"	"FAM"	"A6_PUTR-066-17_FAM_CT1-48_CT2-21"
"A6_PUTR_066_17_A06_02.fsa"	"FAM_CT2_21"	155.03	155.03	2	"B"	"FAM"	"A6_PUTR-066-17_FAM_CT1-48_CT2-21"
"A6_PUTR_066_17_A06_02.fsa"	"HEX_1_18"	196.22	196.22	2	"G"	"HEX"	"A6_PUTR-066-17_HEX_1-18"
"A6_PUTR_066_17_A06_02.fsa"	"NED_1_22"	192.43	192.43	2	"Y"	"NED"	"A6_PUTR-066-17_NED_1-22"
"A7_PUTR_067_01_A07_01.fsa"	"FAM_CT1_48"	244.86	248.93	1	"B"	"FAM"	"A7_PUTR-067-01_FAM_CT1-48_CT2-21"
"A7_PUTR_067_01_A07_01.fsa"	"FAM_CT2_21"	175.08	182.86	1	"B"	"FAM"	"A7_PUTR-067-01_FAM_CT1-48_CT2-21"
"A7_PUTR_067_01_A07_01.fsa"	"HEX_1_18"	172.06	179.63	1	"G"	"HEX"	"A7_PUTR-067-01_HEX_1-18"
"A7_PUTR_067_01_A07_01.fsa"	"NED_1_22"	192.37	192.37	1	"Y"	"NED"	"A7_PUTR-067-01_NED_1-22"
"A8_PUTR_067_09_A08_02.fsa"	"FAM_CT1_48"	242.85	244.91	2	"B"	"FAM"	"A8_PUTR-067-09_FAM_CT1-48_CT2-21"
"A8_PUTR_067_09_A08_02.fsa"	"FAM_CT2_21"	150.81	152.83	2	"B"	"FAM"	"A8_PUTR-067-09_FAM_CT1-48_CT2-21"
"A8_PUTR_067_09_A08_02.fsa"	"HEX_1_18"	193.4	193.4	2	"G"	"HEX"	"A8_PUTR-067-09_HEX_1-18"
"A8_PUTR_067_09_A08_02.fsa"	"NED_1_22"	192.36	204.47	2	"Y"	"NED"	"A8_PUTR-067-09_NED_1-22"
"A9_PUTR_067_17_A09_01.fsa"	"FAM_CT1_48"	246.78	248.81	1	"B"	"FAM"	"A9_PUTR-067-17_FAM_CT1-48_CT2-21"
"A9_PUTR_067_17_A09_01.fsa"	"FAM_CT2_21"	152.81	154.94	1	"B"	"FAM"	"A9_PUTR-067-17_FAM_CT1-48_CT2-21"
"A9_PUTR_067_17_A09_01.fsa"	"HEX_1_18"	190.38	190.38	1	"G"	"HEX"	"A9_PUTR-067-17_HEX_1-18"
"A9_PUTR_067_17_A09_01.fsa"	"NED_1_22"	204.5	210.58	1	"Y"	"NED"	"A9_PUTR-067-17_NED_1-22"
"B10_PUTR_068_02_B10_04.fsa"	"FAM_CT1_48"	242.9	248.83	4	"B"	"FAM"	"B10_PUTR-068-02_FAM_CT1-48_CT2-21"
"B10_PUTR_068_02_B10_04.fsa"	"FAM_CT2_21"	150.9	161.02	4	"B"	"FAM"	"B10_PUTR-068-02_FAM_CT1-48_CT2-21"
"B10_PUTR_068_02_B10_04.fsa"	"HEX_1_18"	176.52	199.62	4	"G"	"HEX"	"B10_PUTR-068-02_HEX_1-18"
"B10_PUTR_068_02_B10_04.fsa"	"NED_1_22"	192.32	192.32	4	"Y"	"NED"	"B10_PUTR-068-02_NED_1-22"
"B11_PUTR_068_10_B11_03.fsa"	"FAM_CT1_48"	242.78	276.9	3	"B"	"FAM"	"B11_PUTR-068-10_FAM_CT1-48_CT2-21"
"B11_PUTR_068_10_B11_03.fsa"	"FAM_CT2_21"	146.43	173.13	3	"B"	"FAM"	"B11_PUTR-068-10_FAM_CT1-48_CT2-21"
"B11_PUTR_068_10_B11_03.fsa"	"HEX_1_18"	188.22	194.24	3	"G"	"HEX"	"B11_PUTR-068-10_HEX_1-18"
"B11_PUTR_068_10_B11_03.fsa"	"NED_1_22"	192.31	206.45	3	"Y"	"NED"	"B11_PUTR-068-10_NED_1-22"
"B12_PUTR_068_18_B12_04.fsa"	"FAM_CT1_48"	268.9	280.75	4	"B"	"FAM"	"B12_PUTR-068-18_FAM_CT1-48_CT2-21"
"B12_PUTR_068_18_B12_04.fsa"	"FAM_CT2_21"	150.74	161.01	4	"B"	"FAM"	"B12_PUTR-068-18_FAM_CT1-48_CT2-21"
"B12_PUTR_068_18_B12_04.fsa"	"HEX_1_18"	179.65	179.65	4	"G"	"HEX"	"B12_PUTR-068-18_HEX_1-18"
"B12_PUTR_068_18_B12_04.fsa"	"NED_1_22"	192.34	192.34	4	"Y"	"NED"	"B12_PUTR-068-18_NED_1-22"
"B1_PUTR_063_02_B01_03.fsa"	"FAM_CT1_48"			3	"B"	"FAM"	"B1_PUTR-063-02_FAM_CT1-48_CT2-21"
"B1_PUTR_063_02_B01_03.fsa"	"FAM_CT2_21"	150.74	181.01	3	"B"	"FAM"	"B1_PUTR-063-02_FAM_CT1-48_CT2-21"
"B1_PUTR_063_02_B01_03.fsa"	"HEX_1_18"	190.5	190.5	3	"G"	"HEX"	"B1_PUTR-063-02_HEX_1-18"
"B1_PUTR_063_02_B01_03.fsa"	"NED_1_22"	192.47	192.47	3	"Y"	"NED"	"B1_PUTR-063-02_NED_1-22"
"B2_PUTR_063_10_B02_04.fsa"	"FAM_CT1_48"	247.09	247.09	4	"B"	"FAM"	"B2_PUTR-063-10_FAM_CT1-48_CT2-21"
"B2_PUTR_063_10_B02_04.fsa"	"FAM_CT2_21"	155.07	175.16	4	"B"	"FAM"	"B2_PUTR-063-10_FAM_CT1-48_CT2-21"
"B2_PUTR_063_10_B02_04.fsa"	"HEX_1_18"	178.18	178.18	4	"G"	"HEX"	"B2_PUTR-063-10_HEX_1-18"
"B2_PUTR_063_10_B02_04.fsa"	"NED_1_22"	202.51	208.63	4	"Y"	"NED"	"B2_PUTR-063-10_NED_1-22"
"B3_PUTR_063_18_B03_03.fsa"	"FAM_CT1_48"	242.81	246.75	3	"B"	"FAM"	"B3_PUTR-063-18_FAM_CT1-48_CT2-21"
"B3_PUTR_063_18_B03_03.fsa"	"FAM_CT2_21"	165.44	175.14	3	"B"	"FAM"	"B3_PUTR-063-18_FAM_CT1-48_CT2-21"
"B3_PUTR_063_18_B03_03.fsa"	"HEX_1_18"	192.18	192.18	3	"G"	"HEX"	"B3_PUTR-063-18_HEX_1-18"
"B3_PUTR_063_18_B03_03.fsa"	"NED_1_22"	196.32	210.4	3	"Y"	"NED"	"B3_PUTR-063-18_NED_1-22"
"B4_PUTR_066_02_B04_04.fsa"	"FAM_CT1_48"	246.76	250.9	4	"B"	"FAM"	"B4_PUTR-066-02_FAM_CT1-48_CT2-21"
"B4_PUTR_066_02_B04_04.fsa"	"FAM_CT2_21"	144.31	159.28	4	"B"	"FAM"	"B4_PUTR-066-02_FAM_CT1-48_CT2-21"
"B4_PUTR_066_02_B04_04.fsa"	"HEX_1_18"	170.64	191.42	4	"G"	"HEX"	"B4_PUTR-066-02_HEX_1-18"
"B4_PUTR_066_02_B04_04.fsa"	"NED_1_22"	192.41	192.41	4	"Y"	"NED"	"B4_PUTR-066-02_NED_1-22"
"B5_PUTR_066_10_B05_03.fsa"	"FAM_CT1_48"	238.87	242.81	3	"B"	"FAM"	"B5_PUTR-066-10_FAM_CT1-48_CT2-21"
"B5_PUTR_066_10_B05_03.fsa"	"FAM_CT2_21"	146.4	173.15	3	"B"	"FAM"	"B5_PUTR-066-10_FAM_CT1-48_CT2-21"
"B5_PUTR_066_10_B05_03.fsa"	"HEX_1_18"	200	200	3	"G"	"HEX"	"B5_PUTR-066-10_HEX_1-18"
"B5_PUTR_066_10_B05_03.fsa"	"NED_1_22"	192.37	210.5	3	"Y"	"NED"	"B5_PUTR-066-10_NED_1-22"
"B6_PUTR_066_18_B06_04.fsa"	"FAM_CT1_48"	226.59	246.94	4	"B"	"FAM"	"B6_PUTR-066-18_FAM_CT1-48_CT2-21"
"B6_PUTR_066_18_B06_04.fsa"	"FAM_CT2_21"	166.92	169.09	4	"B"	"FAM"	"B6_PUTR-066-18_FAM_CT1-48_CT2-21"
"B6_PUTR_066_18_B06_04.fsa"	"HEX_1_18"	194.39	194.39	4	"G"	"HEX"	"B6_PUTR-066-18_HEX_1-18"
"B6_PUTR_066_18_B06_04.fsa"	"NED_1_22"	192.18	204.42	4	"Y"	"NED"	"B6_PUTR-066-18_NED_1-22"
"B7_PUTR_067_02_B07_03.fsa"	"FAM_CT1_48"	242.82	242.82	3	"B"	"FAM"	"B7_PUTR-067-02_FAM_CT1-48_CT2-21"
"B7_PUTR_067_02_B07_03.fsa"	"FAM_CT2_21"	152.84	165.22	3	"B"	"FAM"	"B7_PUTR-067-02_FAM_CT1-48_CT2-21"
"B7_PUTR_067_02_B07_03.fsa"	"HEX_1_18"	194.29	194.29	3	"G"	"HEX"	"B7_PUTR-067-02_HEX_1-18"
"B7_PUTR_067_02_B07_03.fsa"	"NED_1_22"	202.36	204.26	3	"Y"	"NED"	"B7_PUTR-067-02_NED_1-22"
"B8_PUTR_067_10_B08_04.fsa"	"FAM_CT1_48"	242.89	242.89	4	"B"	"FAM"	"B8_PUTR-067-10_FAM_CT1-48_CT2-21"
"B8_PUTR_067_10_B08_04.fsa"	"FAM_CT2_21"	154.94	163.29	4	"B"	"FAM"	"B8_PUTR-067-10_FAM_CT1-48_CT2-21"
"B8_PUTR_067_10_B08_04.fsa"	"HEX_1_18"	180.59	180.59	4	"G"	"HEX"	"B8_PUTR-067-10_HEX_1-18"
"B8_PUTR_067_10_B08_04.fsa"	"NED_1_22"	192.39	196.35	4	"Y"	"NED"	"B8_PUTR-067-10_NED_1-22"
"B9_PUTR_067_18_B09_03.fsa"	"FAM_CT1_48"	242.83	258.92	3	"B"	"FAM"	"B9_PUTR-067-18_FAM_CT1-48_CT2-21"
"B9_PUTR_067_18_B09_03.fsa"	"FAM_CT2_21"	142.06	167.01	3	"B"	"FAM"	"B9_PUTR-067-18_FAM_CT1-48_CT2-21"
"B9_PUTR_067_18_B09_03.fsa"	"HEX_1_18"	189.41	189.41	3	"G"	"HEX"	"B9_PUTR-067-18_HEX_1-18"
"B9_PUTR_067_18_B09_03.fsa"	"NED_1_22"	192.27	192.27	3	"Y"	"NED"	"B9_PUTR-067-18_NED_1-22"
"C10_PUTR_068_03_C10_06.fsa"	"FAM_CT1_48"	248.84	248.84	6	"B"	"FAM"	"C10_PUTR-068-03_FAM_CT1-48_CT2-21"
"C10_PUTR_068_03_C10_06.fsa"	"FAM_CT2_21"	146.42	173.13	6	"B"	"FAM"	"C10_PUTR-068-03_FAM_CT1-48_CT2-21"
"C10_PUTR_068_03_C10_06.fsa"	"HEX_1_18"	180.7	192.17	6	"G"	"HEX"	"C10_PUTR-068-03_HEX_1-18"
"C10_PUTR_068_03_C10_06.fsa"	"NED_1_22"	192.32	204.39	6	"Y"	"NED"	"C10_PUTR-068-03_NED_1-22"
"C11_PUTR_068_11_C11_05.fsa"	"FAM_CT1_48"			5	"B"	"FAM"	"C11_PUTR-068-11_FAM_CT1-48_CT2-21"
"C11_PUTR_068_11_C11_05.fsa"	"FAM_CT2_21"	146.46	156.78	5	"B"	"FAM"	"C11_PUTR-068-11_FAM_CT1-48_CT2-21"
"C11_PUTR_068_11_C11_05.fsa"	"HEX_1_18"	188.18	192.26	5	"G"	"HEX"	"C11_PUTR-068-11_HEX_1-18"
"C11_PUTR_068_11_C11_05.fsa"	"NED_1_22"	192.34	220.75	5	"Y"	"NED"	"C11_PUTR-068-11_NED_1-22"
"C12_PUTR_068_19_C12_06.fsa"	"FAM_CT1_48"	242.86	266.84	6	"B"	"FAM"	"C12_PUTR-068-19_FAM_CT1-48_CT2-21"
"C12_PUTR_068_19_C12_06.fsa"	"FAM_CT2_21"	161.01	167.43	6	"B"	"FAM"	"C12_PUTR-068-19_FAM_CT1-48_CT2-21"
"C12_PUTR_068_19_C12_06.fsa"	"HEX_1_18"	180.71	194.36	6	"G"	"HEX"	"C12_PUTR-068-19_HEX_1-18"
"C12_PUTR_068_19_C12_06.fsa"	"NED_1_22"	192.39	192.39	6	"Y"	"NED"	"C12_PUTR-068-19_NED_1-22"
"C1_PUTR_063_03_C01_05.fsa"	"FAM_CT1_48"	243.13	243.13	5	"B"	"FAM"	"C1_PUTR-063-03_FAM_CT1-48_CT2-21"
"C1_PUTR_063_03_C01_05.fsa"	"FAM_CT2_21"	144.32	169.11	5	"B"	"FAM"	"C1_PUTR-063-03_FAM_CT1-48_CT2-21"
"C1_PUTR_063_03_C01_05.fsa"	"HEX_1_18"	180.66	180.66	5	"G"	"HEX"	"C1_PUTR-063-03_HEX_1-18"
"C1_PUTR_063_03_C01_05.fsa"	"NED_1_22"	192.36	202.44	5	"Y"	"NED"	"C1_PUTR-063-03_NED_1-22"
"C2_PUTR_063_11_C02_06.fsa"	"FAM_CT1_48"	247.02	248.94	6	"B"	"FAM"	"C2_PUTR-063-11_FAM_CT1-48_CT2-21"
"C2_PUTR_063_11_C02_06.fsa"	"FAM_CT2_21"	175.21	181.02	6	"B"	"FAM"	"C2_PUTR-063-11_FAM_CT1-48_CT2-21"
"C2_PUTR_063_11_C02_06.fsa"	"HEX_1_18"	190.39	196.28	6	"G"	"HEX"	"C2_PUTR-063-11_HEX_1-18"
"C2_PUTR_063_11_C02_06.fsa"	"NED_1_22"	192.41	206.4	6	"Y"	"NED"	"C2_PUTR-063-11_NED_1-22"
"C3_PUTR_063_19_C03_05.fsa"	"FAM_CT1_48"	242.87	250.87	5	"B"	"FAM"	"C3_PUTR-063-19_FAM_CT1-48_CT2-21"
"C3_PUTR_063_19_C03_05.fsa"	"FAM_CT2_21"	169.12	184.9	5	"B"	"FAM"	"C3_PUTR-063-19_FAM_CT1-48_CT2-21"
"C3_PUTR_063_19_C03_05.fsa"	"HEX_1_18"	182.28	188.44	5	"G"	"HEX"	"C3_PUTR-063-19_HEX_1-18"
"C3_PUTR_063_19_C03_05.fsa"	"NED_1_22"	192.28	194.34	5	"Y"	"NED"	"C3_PUTR-063-19_NED_1-22"
"C4_PUTR_066_03_C04_06.fsa"	"FAM_CT1_48"	244.84	246.78	6	"B"	"FAM"	"C4_PUTR-066-03_FAM_CT1-48_CT2-21"
"C4_PUTR_066_03_C04_06.fsa"	"FAM_CT2_21"	167.05	177.05	6	"B"	"FAM"	"C4_PUTR-066-03_FAM_CT1-48_CT2-21"
"C4_PUTR_066_03_C04_06.fsa"	"HEX_1_18"	180.12	186.32	6	"G"	"HEX"	"C4_PUTR-066-03_HEX_1-18"
"C4_PUTR_066_03_C04_06.fsa"	"NED_1_22"	192.33	202.39	6	"Y"	"NED"	"C4_PUTR-066-03_NED_1-22"
"C5_PUTR_066_11_C05_05.fsa"	"FAM_CT1_48"	226.85	246.77	5	"B"	"FAM"	"C5_PUTR-066-11_FAM_CT1-48_CT2-21"
"C5_PUTR_066_11_C05_05.fsa"	"FAM_CT2_21"	163.38	180.92	5	"B"	"FAM"	"C5_PUTR-066-11_FAM_CT1-48_CT2-21"
"C5_PUTR_066_11_C05_05.fsa"	"HEX_1_18"	172.29	172.29	5	"G"	"HEX"	"C5_PUTR-066-11_HEX_1-18"
"C5_PUTR_066_11_C05_05.fsa"	"NED_1_22"	192.34	202.42	5	"Y"	"NED"	"C5_PUTR-066-11_NED_1-22"
"C6_PUTR_066_19_C06_06.fsa"	"FAM_CT1_48"	245.09	246.78	6	"B"	"FAM"	"C6_PUTR-066-19_FAM_CT1-48_CT2-21"
"C6_PUTR_066_19_C06_06.fsa"	"FAM_CT2_21"	163.19	179.39	6	"B"	"FAM"	"C6_PUTR-066-19_FAM_CT1-48_CT2-21"
"C6_PUTR_066_19_C06_06.fsa"	"HEX_1_18"	188.17	194.18	6	"G"	"HEX"	"C6_PUTR-066-19_HEX_1-18"
"C6_PUTR_066_19_C06_06.fsa"	"NED_1_22"	192.35	204.17	6	"Y"	"NED"	"C6_PUTR-066-19_NED_1-22"
"C7_PUTR_067_03_C07_05.fsa"	"FAM_CT1_48"	246.86	248.84	5	"B"	"FAM"	"C7_PUTR-067-03_FAM_CT1-48_CT2-21"
"C7_PUTR_067_03_C07_05.fsa"	"FAM_CT2_21"	150.83	173.09	5	"B"	"FAM"	"C7_PUTR-067-03_FAM_CT1-48_CT2-21"
"C7_PUTR_067_03_C07_05.fsa"	"HEX_1_18"	186.37	189.38	5	"G"	"HEX"	"C7_PUTR-067-03_HEX_1-18"
"C7_PUTR_067_03_C07_05.fsa"	"NED_1_22"	204.31	204.31	5	"Y"	"NED"	"C7_PUTR-067-03_NED_1-22"
"C8_PUTR_067_11_C08_06.fsa"	"FAM_CT1_48"	242.86	248.85	6	"B"	"FAM"	"C8_PUTR-067-11_FAM_CT1-48_CT2-21"
"C8_PUTR_067_11_C08_06.fsa"	"FAM_CT2_21"	154.99	154.99	6	"B"	"FAM"	"C8_PUTR-067-11_FAM_CT1-48_CT2-21"
"C8_PUTR_067_11_C08_06.fsa"	"HEX_1_18"	184.33	194.39	6	"G"	"HEX"	"C8_PUTR-067-11_HEX_1-18"
"C8_PUTR_067_11_C08_06.fsa"	"NED_1_22"	204.49	204.49	6	"Y"	"NED"	"C8_PUTR-067-11_NED_1-22"
"C9_PUTR_067_19_C09_05.fsa"	"FAM_CT1_48"	242.86	258.83	5	"B"	"FAM"	"C9_PUTR-067-19_FAM_CT1-48_CT2-21"
"C9_PUTR_067_19_C09_05.fsa"	"FAM_CT2_21"	152.81	154.95	5	"B"	"FAM"	"C9_PUTR-067-19_FAM_CT1-48_CT2-21"
"C9_PUTR_067_19_C09_05.fsa"	"HEX_1_18"	176.39	193.35	5	"G"	"HEX"	"C9_PUTR-067-19_HEX_1-18"
"C9_PUTR_067_19_C09_05.fsa"	"NED_1_22"	199.77	210.52	5	"Y"	"NED"	"C9_PUTR-067-19_NED_1-22"
"D10_PUTR_068_04_D10_08.fsa"	"FAM_CT1_48"	242.87	252.62	8	"B"	"FAM"	"D10_PUTR-068-04_FAM_CT1-48_CT2-21"
"D10_PUTR_068_04_D10_08.fsa"	"FAM_CT2_21"	154.99	159.2	8	"B"	"FAM"	"D10_PUTR-068-04_FAM_CT1-48_CT2-21"
"D10_PUTR_068_04_D10_08.fsa"	"HEX_1_18"	171.73	171.73	8	"G"	"HEX"	"D10_PUTR-068-04_HEX_1-18"
"D10_PUTR_068_04_D10_08.fsa"	"NED_1_22"	192.32	192.32	8	"Y"	"NED"	"D10_PUTR-068-04_NED_1-22"
"D11_PUTR_068_12_D11_07.fsa"	"FAM_CT1_48"	258.84	258.84	7	"B"	"FAM"	"D11_PUTR-068-12_FAM_CT1-48_CT2-21"
"D11_PUTR_068_12_D11_07.fsa"	"FAM_CT2_21"	142.12	165.2	7	"B"	"FAM"	"D11_PUTR-068-12_FAM_CT1-48_CT2-21"
"D11_PUTR_068_12_D11_07.fsa"	"HEX_1_18"	190.34	194.21	7	"G"	"HEX"	"D11_PUTR-068-12_HEX_1-18"
"D11_PUTR_068_12_D11_07.fsa"	"NED_1_22"	192.35	192.35	7	"Y"	"NED"	"D11_PUTR-068-12_NED_1-22"
"D12_PUTR_068_20_D12_08.fsa"	"FAM_CT1_48"	239.35	241.28	8	"B"	"FAM"	"D12_PUTR-068-20_FAM_CT1-48_CT2-21"
"D12_PUTR_068_20_D12_08.fsa"	"FAM_CT2_21"	174.96	176.96	8	"B"	"FAM"	"D12_PUTR-068-20_FAM_CT1-48_CT2-21"
"D12_PUTR_068_20_D12_08.fsa"	"HEX_1_18"	184.48	186.16	8	"G"	"HEX"	"D12_PUTR-068-20_HEX_1-18"
"D12_PUTR_068_20_D12_08.fsa"	"NED_1_22"	192.34	206.44	8	"Y"	"NED"	"D12_PUTR-068-20_NED_1-22"
"D1_PUTR_063_04_D01_07.fsa"	"FAM_CT1_48"	242.91	247.02	7	"B"	"FAM"	"D1_PUTR-063-04_FAM_CT1-48_CT2-21"
"D1_PUTR_063_04_D01_07.fsa"	"FAM_CT2_21"	150.9	156.88	7	"B"	"FAM"	"D1_PUTR-063-04_FAM_CT1-48_CT2-21"
"D1_PUTR_063_04_D01_07.fsa"	"HEX_1_18"	188.53	188.53	7	"G"	"HEX"	"D1_PUTR-063-04_HEX_1-18"
"D1_PUTR_063_04_D01_07.fsa"	"NED_1_22"	200	202.54	7	"Y"	"NED"	"D1_PUTR-063-04_NED_1-22"
"D2_PUTR_063_12_D02_08.fsa"	"FAM_CT1_48"			8	"B"	"FAM"	"D2_PUTR-063-12_FAM_CT1-48_CT2-21"
"D2_PUTR_063_12_D02_08.fsa"	"FAM_CT2_21"			8	"B"	"FAM"	"D2_PUTR-063-12_FAM_CT1-48_CT2-21"
"D2_PUTR_063_12_D02_08.fsa"	"HEX_1_18"			8	"G"	"HEX"	"D2_PUTR-063-12_HEX_1-18"
"D2_PUTR_063_12_D02_08.fsa"	"NED_1_22"			8	"Y"	"NED"	"D2_PUTR-063-12_NED_1-22"
"D3_PUTR_063_20_D03_07.fsa"	"FAM_CT1_48"	242.72	246.91	7	"B"	"FAM"	"D3_PUTR-063-20_FAM_CT1-48_CT2-21"
"D3_PUTR_063_20_D03_07.fsa"	"FAM_CT2_21"	150.75	152.81	7	"B"	"FAM"	"D3_PUTR-063-20_FAM_CT1-48_CT2-21"
"D3_PUTR_063_20_D03_07.fsa"	"HEX_1_18"	189.97	199.69	7	"G"	"HEX"	"D3_PUTR-063-20_HEX_1-18"
"D3_PUTR_063_20_D03_07.fsa"	"NED_1_22"			7	"Y"	"NED"	"D3_PUTR-063-20_NED_1-22"
"D4_PUTR_066_04_D04_08.fsa"	"FAM_CT1_48"	242.84	246.97	8	"B"	"FAM"	"D4_PUTR-066-04_FAM_CT1-48_CT2-21"
"D4_PUTR_066_04_D04_08.fsa"	"FAM_CT2_21"	146.29	175.08	8	"B"	"FAM"	"D4_PUTR-066-04_FAM_CT1-48_CT2-21"
"D4_PUTR_066_04_D04_08.fsa"	"HEX_1_18"	182.1	191.38	8	"G"	"HEX"	"D4_PUTR-066-04_HEX_1-18"
"D4_PUTR_066_04_D04_08.fsa"	"NED_1_22"	192.37	192.37	8	"Y"	"NED"	"D4_PUTR-066-04_NED_1-22"
"D5_PUTR_066_12_D05_07.fsa"	"FAM_CT1_48"	243.2	243.2	7	"B"	"FAM"	"D5_PUTR-066-12_FAM_CT1-48_CT2-21"
"D5_PUTR_066_12_D05_07.fsa"	"FAM_CT2_21"	146.6	150.34	7	"B"	"FAM"	"D5_PUTR-066-12_FAM_CT1-48_CT2-21"
"D5_PUTR_066_12_D05_07.fsa"	"HEX_1_18"	186.41	186.41	7	"G"	"HEX"	"D5_PUTR-066-12_HEX_1-18"
